sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
2.191;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;Agent10@0;PokerFace@1;TUDMixedStrategyAgent@2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.060000000000000046;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
1.046;114;;200rounds;Yes;No;3;0.61329;0.87823;0.00000;0.23627;2.22986;PokerFace@3;Agent10@4;TUDMixedStrategyAgent@5;0.8782306679192136;0.738345003902913;0.6132873899901766;0.8782306679192136;0.738345003902913;0.6132873899901766;0.8994251769408894;0.582129626685897;0.44931482375383597;0.0;0.06800000000000005;0.0;0.8782306679192136;0.670345003902913;0.6132873899901766;party1_utility.xml;party2_utility.xml;party3_utility.xml
;104;Session genius.core.session.Session@4f83df68 failed: Failed to execute protocol: null:[agents.anac.y2015.TUDMixedStrategyAgent.TUDMixedStrategyAgent, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2015.pokerface.PokerFace];200rounds;No;;0;;;;;;TUDMixedStrategyAgent;Agent10;PokerFace;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
;115;Session genius.core.session.Session@42a48628 failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, agents.anac.y2015.TUDMixedStrategyAgent.TUDMixedStrategyAgent, agents.anac.y2015.pokerface.PokerFace];200rounds;No;;0;;;;;;Agent10;TUDMixedStrategyAgent;PokerFace;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
1.736;201;;200rounds;No;No;1;0.00000;0.00000;1.16592;1.41181;0.00000;PokerFace@12;TUDMixedStrategyAgent@13;Agent10@14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06800000000000005;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
;115;Session genius.core.session.Session@3349e9bb failed: Failed to execute protocol: null:[agents.anac.y2015.TUDMixedStrategyAgent.TUDMixedStrategyAgent, agents.anac.y2015.pokerface.PokerFace, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class];200rounds;No;;0;;;;;;TUDMixedStrategyAgent;PokerFace;Agent10;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
