sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.708;23;;30rounds;Yes;No;4;0.37457;0.94010;0.00000;0.56292;2.86920;ExampleAgent@43;ExampleAgent@44;BoulwareNegotiationParty@45;BoulwareNegotiationParty@46;0.6616666666666667;0.3745737602553997;0.9401030972196043;0.892856275;0.6616666666666667;0.3745737602553997;0.9401030972196043;0.892856275;0.6616666666666667;0.3745737602553997;0.9401030972196043;0.892856275;0.0;0.0;0.0;0.0;0.6616666666666667;0.3745737602553997;0.9401030972196043;0.892856275;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;22;Session genius.core.session.Session@14bdac7c failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ExampleAgent;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;21;Session genius.core.session.Session@1a2305f7 failed: Failed to execute protocol: null:[negotiator.parties.BoulwareNegotiationParty, agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;BoulwareNegotiationParty;ABMPAgent2;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;21;Session genius.core.session.Session@1154a93f failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ImprovedRandomAgent;ABMPAgent2;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;19;Session genius.core.session.Session@42a649fc failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ExampleAgent;ABMPAgent2;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;21;Session genius.core.session.Session@20c34317 failed: Failed to execute protocol: null:[agents.ABMPAgent2, agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ABMPAgent2;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.444;29;;30rounds;Yes;No;4;0.58505;0.78571;0.05877;0.35744;2.73769;BoulwareNegotiationParty@67;BoulwareNegotiationParty@68;ImprovedRandomAgent@69;BoulwareNegotiationParty@70;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.0;0.0;0.0;0.0;0.595;0.5850525701993788;0.7719269225810125;0.7857136;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.415;30;;30rounds;Yes;No;4;0.71429;0.79050;0.00000;0.17224;2.98895;ImprovedRandomAgent@71;BoulwareNegotiationParty@72;ImprovedRandomAgent@73;BoulwareNegotiationParty@74;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7142851000000001;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7142851000000001;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7142851000000001;0.0;0.0;0.0;0.0;0.7516666666666666;0.7324961467802069;0.7905033695301777;0.7142851000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.549;29;;30rounds;Yes;No;4;0.58505;0.78571;0.05877;0.35744;2.73769;ExampleAgent@75;BoulwareNegotiationParty@76;ImprovedRandomAgent@77;BoulwareNegotiationParty@78;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.595;0.5850525701993788;0.7719269225810125;0.7857136;0.0;0.0;0.0;0.0;0.595;0.5850525701993788;0.7719269225810125;0.7857136;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;29;Session genius.core.session.Session@d841bd3 failed: Failed to execute protocol: null:[agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;BoulwareNegotiationParty;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.401;30;;30rounds;Yes;No;4;0.58333;0.87605;0.00000;0.23536;2.91464;BoulwareNegotiationParty@83;ImprovedRandomAgent@84;ImprovedRandomAgent@85;BoulwareNegotiationParty@86;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.5833328500000001;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.5833328500000001;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.5833328500000001;0.0;0.0;0.0;0.0;0.7091666666666666;0.8760514919327387;0.7460922880531652;0.5833328500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.408;30;;30rounds;Yes;No;4;0.60714;0.78952;0.03371;0.20668;2.83585;ImprovedRandomAgent@87;ImprovedRandomAgent@88;ImprovedRandomAgent@89;BoulwareNegotiationParty@90;0.7250000000000001;0.7895211900560208;0.7141885817055816;0.6071422750000002;0.7250000000000001;0.7895211900560208;0.7141885817055816;0.6071422750000002;0.7250000000000001;0.7895211900560208;0.7141885817055816;0.6071422750000002;0.0;0.0;0.0;0.0;0.7250000000000001;0.7895211900560208;0.7141885817055816;0.6071422750000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.491;31;;30rounds;Yes;No;4;0.56252;0.80952;0.07018;0.28448;2.84743;ExampleAgent@91;ImprovedRandomAgent@92;ImprovedRandomAgent@93;BoulwareNegotiationParty@94;0.7866666666666666;0.5625165294912381;0.6887224865466294;0.8095230750000002;0.7866666666666666;0.5625165294912381;0.6887224865466294;0.8095230750000002;0.7866666666666666;0.5625165294912381;0.6887224865466294;0.8095230750000002;0.0;0.0;0.0;0.0;0.7866666666666666;0.5625165294912381;0.6887224865466294;0.8095230750000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;27;Session genius.core.session.Session@68de35bc failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ImprovedRandomAgent;ImprovedRandomAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
