sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.034;4;;60rounds;Yes;No;2;0.49473;0.97497;0.00000;0.47373;1.46970;Agent10@0;Agent10@1;0.9749651414079614;0.49473225596841763;0.9749651414079614;0.49473225596841763;0.9730568802489203;0.28964249606400283;0.001;0.001;0.9739651414079614;0.49373225596841763;party1_utility.xml;party2_utility.xml
0.012;3;;60rounds;Yes;No;2;0.68499;0.88151;0.00000;0.26212;1.56651;BoulwareNegotiationParty@2;Agent10@3;0.8815139775362884;0.6849938461633399;0.8815139775362884;0.6849938461633399;1.0;0.462336446658242;0.0;0.001;0.8815139775362884;0.6839938461633399;party1_utility.xml;party2_utility.xml
0.012;3;;60rounds;Yes;No;2;0.68499;0.88151;0.00000;0.26212;1.56651;ConcederNegotiationParty@4;Agent10@5;0.8815139775362884;0.6849938461633399;0.8815139775362884;0.6849938461633399;1.0;0.462336446658242;0.0;0.001;0.8815139775362884;0.6839938461633399;party1_utility.xml;party2_utility.xml
0.149;31;;60rounds;Yes;No;2;0.56655;0.87242;0.15736;0.22535;1.43897;Agent10@6;BoulwareNegotiationParty@7;0.5665500617607802;0.8724202209876767;0.5665500617607802;0.8724202209876767;0.49040180803010686;1.0;0.001;0.0;0.5655500617607802;0.8724202209876767;party1_utility.xml;party2_utility.xml
0.177;51;;60rounds;Yes;No;2;0.68371;0.80228;0.14374;0.16179;1.48598;BoulwareNegotiationParty@8;BoulwareNegotiationParty@9;0.6837055385431724;0.8022781032795586;0.6837055385431724;0.8022781032795586;0.686624077109592;0.6982437337299067;0.0;0.0;0.6837055385431724;0.8022781032795586;party1_utility.xml;party2_utility.xml
0.045;18;;60rounds;Yes;No;2;0.56655;0.87242;0.15736;0.22535;1.43897;ConcederNegotiationParty@10;BoulwareNegotiationParty@11;0.5665500617607802;0.8724202209876767;0.5665500617607802;0.8724202209876767;0.49040180803010686;1.0;0.0;0.0;0.5665500617607802;0.8724202209876767;party1_utility.xml;party2_utility.xml
0.009;3;;60rounds;Yes;No;2;0.56655;0.87242;0.15736;0.22535;1.43897;Agent10@12;ConcederNegotiationParty@13;0.5665500617607802;0.8724202209876767;0.5665500617607802;0.8724202209876767;0.49040180803010686;1.0;0.001;0.0;0.5655500617607802;0.8724202209876767;party1_utility.xml;party2_utility.xml
0.077;20;;60rounds;Yes;No;2;0.68499;0.88151;0.00000;0.26212;1.56651;BoulwareNegotiationParty@14;ConcederNegotiationParty@15;0.8815139775362884;0.6849938461633399;0.8815139775362884;0.6849938461633399;1.0;0.462336446658242;0.0;0.0;0.8815139775362884;0.6849938461633399;party1_utility.xml;party2_utility.xml
0.024;8;;60rounds;Yes;No;2;0.68371;0.80228;0.14374;0.16179;1.48598;ConcederNegotiationParty@16;ConcederNegotiationParty@17;0.6837055385431724;0.8022781032795586;0.6837055385431724;0.8022781032795586;0.686624077109592;0.6982437337299067;0.0;0.0;0.6837055385431724;0.8022781032795586;party1_utility.xml;party2_utility.xml
